codigo,nombre,apellidos,tipoMiembro
10457,Minjun,Kim,Productor
20984,Haru,Park,Compositor
33560,Sora,Lee,Musico
46712,Jisoo,Choi,Productor
59301,Taeyang,Jeon,Compositor
14892,Yuna,Jung,Musico
20765,Doyeon,Han,Productor
33901,Hana,Seo,Compositor
42056,Junseo,Lim,Musico
57813,Ara,Kwon,Productor
11502,Sunwoo,Kim,Compositor
23671,Mirae,Park,Musico
34980,Hyun,Lee,Productor
46815,Sena,Choi,Compositor
59027,Jimin,Jeon,Musico
10234,Nari,Jung,Productor
21879,Haneul,Han,Compositor
30156,Bora,Seo,Musico
45670,Seojun,Lim,Productor
58902,Hayoon,Kwon,Compositor
11903,Gyuri,Kim,Musico
22741,Daon,Park,Productor
31865,Siwoo,Lee,Compositor
44120,Seulgi,Choi,Musico
59781,Rowoon,Jeon,Productor
13005,Hayden,Jung,Compositor
24670,Eunseo,Han,Musico
33019,Noa,Seo,Productor
45994,Sohee,Lim,Compositor
58010,Taerin,Kwon,Musico
10179,Minji,Kim,Productor
22568,Yeji,Park,Compositor
34790,Chaewon,Lee,Musico
46931,Haruto,Choi,Productor
59104,Rei,Jeon,Compositor
11345,Wonyoung,Jung,Musico
22907,Lily,Han,Productor
34150,Isa,Seo,Compositor
47890,Kyujin,Lim,Musico
59931,Jiwoo,Kwon,Productor
10678,HyunA,Kim,Compositor
21459,Sunmi,Park,Musico
30987,Soyeon,Lee,Productor
45211,Taeyeon,Choi,Compositor
57642,Karina,Jeon,Musico
12456,Giselle,Jung,Productor
23891,Ningning,Han,Compositor
36012,Winter,Seo,Musico
47005,Joy,Lim,Productor
58977,Wendy,Kwon,Compositor
11804,Seul,Kim,Musico
23067,SuA,Park,Productor
34119,Yoohyeon,Lee,Compositor
46580,Siyeon,Choi,Musico
59066,Handong,Jeon,Productor
10345,Shuhua,Jung,Compositor
21990,Minnie,Han,Musico
33211,Soyeon,Seo,Productor
44782,Miyeon,Lim,Compositor
57890,Ahri,Kwon,Musico
11123,Jinni,Kim,Productor
22654,Sullyoon,Park,Compositor
34002,Bae,Lee,Musico
45871,Kyujin,Choi,Productor
59905,Jiwoo,Jeon,Compositor
10567,Winter,Jung,Musico
21784,Karina,Han,Productor
33950,Giselle,Seo,Compositor
47210,Ningning,Lim,Musico
59841,Minjeong,Kwon,Productor
12780,LeeKnow,Kim,Compositor
23341,Hyunjin,Park,Musico
35109,Han,Lee,Productor
46852,Changbin,Choi,Compositor
59028,Seungmin,Jeon,Musico
11209,Ryujin,Jung,Productor
22988,Chaeryeong,Han,Compositor
34011,Yuna,Seo,Musico
45930,Lia,Lim,Productor
58776,Yeji,Kwon,Compositor
10985,Taeyong,Kim,Musico
22440,Mark,Park,Productor
33077,Jaehyun,Lee,Compositor
45166,Johnny,Choi,Musico
59322,Yuta,Jeon,Productor
11670,Sakura,Jung,Compositor
23802,Chaewon,Han,Musico
34977,Eunchae,Seo,Productor
46250,Kazuha,Lim,Compositor
58599,Yunjin,Kwon,Musico
